index,time,tweets
186,2020-11-14 23:09:27,"Cool, but please be super cautious. Expect two steps forward, one back. Lot of new code was merged."
187,2020-11-14 22:43:18,Just a scratch. We can buff it out.
188,2020-11-14 22:42:35,"Am getting wildly different results from different labs, but most likely I have a moderate case of covid"
189,2020-11-14 21:33:02,NPCs all the way up
190,2020-11-14 20:25:34,Ahem
191,2020-11-14 20:13:06,Unless youre on DMT
192,2020-11-14 20:11:13,Laws of thermodynamics:1. You cant win2. You cant break even3. You cant stop playing
193,2020-11-14 19:51:56,Shakes fist at entropy
194,2020-11-14 16:10:16,Big expansion of beta program in to weeks!
195,2020-11-14 08:45:04,Interesting. My Thursday night saliva sample came back today with N1 gene (unique to cov
196,2020-11-14 08:26:05,Whats honey?
197,2020-11-14 06:33:48,Feels that way
198,2020-11-14 06:24:19,This seems accurate
199,2020-11-14 06:11:36,Cold symptoms are gone for now
200,2020-11-14 05:00:38,There are degrees of pos
201,2020-11-14 00:43:52,Heneghan makes a lot of sense. Hilarious that he has to clarify that he r
202,2020-11-14 00:31:54,The number of PCR amplification cycles required to detect the virus is a rough indicator of your vir
203,2020-11-13 23:32:16,This a great reference! Worth a read.
204,2020-11-13 23:22:43,Case closed
205,2020-11-13 23:15:38,Soon
206,2020-11-13 22:21:06,"Fwiw, lab I just spoke to thinks below is accurate, to gets dicey &amp; above is bs. Will talk to"
207,2020-11-13 21:47:44,Lab I just spoke to said cov2 PCR detection (N1 &amp; N3 genes) below cycles is reliable &amp; above cycles is not
208,2020-11-13 21:42:34,"Note, this is not the spike protein. They dont consider that reliable."
209,2020-11-13 21:41:59,"Just spoke directly to a testing lab. Their main PCR search is for the N1 gene, unique"
210,2020-11-13 19:39:18,Strange
211,2020-11-13 19:28:31,Possible explanation for the dramatic decline in cold &amp; flu prevalence vs prior years. If someone comes
212,2020-11-13 19:25:10,"Moreover, lower the true prevalence, the higher the false positive number will be. This sounds obvious,"
213,2020-11-13 19:21:54,From
214,2020-11-13 17:55:05,Sure is
215,2020-11-13 17:41:59,Would be great to hear from people who know a lot about the PCR testing industry. Whats the approximate false posi
216,2020-11-13 17:07:09,Interesting
217,2020-11-13 17:04:52,Interesting
218,2020-11-13 16:28:32,What is the general population (no knowledge of symptoms) accuracy of a sars-cov2 PCR test &amp; is it possible to gene
219,2020-11-13 12:17:36,"A good PCR test should identify if I have the cov2 spike proteins, although I have heard s"
220,2020-11-13 11:23:04,"Mild sniffles &amp; cough &amp; slight fever past few days. Right now, no symptoms, although I did take NyQuil."
221,2020-11-13 11:16:45,"Technically, I tested positive, then negative twice, then positive again, so Elon Musk Tests Negati"
222,2020-11-13 06:11:57,The carousel turns ever faster
223,2020-11-13 06:08:20,Yup
224,2020-11-13 05:57:52,Exactly
225,2020-11-13 05:52:01,Symptoms of a typical cold. Nothing unusual so far.
226,2020-11-13 05:50:29,"If its happening to me, its happening to others. Im getting PCR tests from separate labs. Results will take about hours."
227,2020-11-13 05:47:11,"Something extremely bogus is going on. Was tested for covid four times today. Two tests came back negative, two cam"
228,2020-11-13 03:26:57,"Burst disk worked, so vehicle appears to be ok. Well have to swap out at least one of the engines."
229,2020-11-13 02:18:11,Maybe melted an engine preburner or fuel hot gas manifold. Whatev
230,2020-11-13 02:09:00,We lost vehicle pneumatics. Reason unknown at present. Liquid oxygen header tank pressure is risin
231,2020-11-12 23:06:29,
232,2020-11-12 16:21:37,: Tesla tops list of s Most Attractive Employers for US engineering students
233,2020-11-12 15:34:36,Astronauts fly to on Sat night from Cape. First operational flight of Crew Dragon.
234,2020-11-12 15:23:01,Luck is the best superpower
235,2020-11-12 01:27:27,: Thank you to all those who have served and sacrificed
236,2020-11-11 13:31:25,: Crew access arm swings into place
237,2020-11-11 04:38:41,Yes
238,2020-11-10 22:02:09,It is an honor that they would choose to work with me. I strive to ensure that the companies enable
239,2020-11-10 21:24:38,Such a privilege to work with people I like &amp; respect so much. I feel blessed.
240,2020-11-10 20:12:58,": The Flight Readiness Review for the Crew-1 mission to the has concluded, and and are GO t"
241,2020-11-10 16:14:36,: Falcon and Crew Dragon vertical on Launch Complex A
242,2020-11-10 16:14:04,Probably
243,2020-11-10 16:12:59,Happy to see this
244,2020-11-09 23:08:21,"I do expect this to become an important product for the world, but probably not financially material for Tesla"
245,2020-11-09 23:05:22,Theres no entry
246,2020-11-09 22:51:18,Tesla makes the RNA Bioreactor that can make vaccines / cures. CureVac has version in use.
247,2020-11-09 22:45:24,: Crew Dragon and Falcon in the hangar at Launch Complex A ahead of launching four astronauts to the ; liftoff
248,2020-11-09 22:41:55,Checking
249,2020-11-09 22:18:38,I just hope this game doesnt twist itself to tedium out of fear of being canceled
250,2020-11-09 18:38:23,": Rumor has it that ""Austin Chalk"" is geologically one of best soils for tunneling. Want to find out? Austin jobs now avai"
251,2020-11-09 18:03:19,
252,2020-11-09 16:57:33,"Yes, you can have my damn cookie! should be a browser setting"
253,2020-11-09 15:39:20,Thanks to a lot of great Autopilot/AI hardware &amp; software engineers at Tesla!
254,2020-11-09 02:53:07,For sure
255,2020-11-09 02:21:26,Will be worth it
256,2020-11-09 02:17:31,Exactly
257,2020-11-09 02:16:15,Sure
258,2020-11-09 02:13:16,"Actually, its still there"
259,2020-11-09 01:55:55,Wait until you see what Cybertruck will do
260,2020-11-09 00:41:29,This is accidental. Will be back shortly.
261,2020-11-08 19:15:40,: k Superchargers and counting
262,2020-11-08 15:59:23,Am hoping to change booster design to land back on launch mount with
263,2020-11-08 14:51:54,Chip has temp sensor &amp; automatically maintains safe temp
264,2020-11-08 14:49:39,Enough already on my plate &amp; Teslas. Maybe one day will do a prototy
265,2020-11-08 14:42:56,"Neuralink wont overclock the brain, it will transfer processing to the supercomputer extension of yo"
266,2020-11-08 14:29:30,We rewrote all labeling software for D. Very different from labeling single phot
267,2020-11-08 13:07:02,Version is about a year away
268,2020-11-08 11:46:46,It would appear that their calculations were incorrect
269,2020-11-08 11:41:12,China understands the profound importance of reusability. The era of expendable rockets will soon be over.
270,2020-11-08 11:10:49,Tesla Autopilot/AI team
271,2020-11-08 11:07:00,"Good explanation. D is essential for dynamically occluded objects, especially in large intersection"
272,2020-11-07 20:35:18,:
273,2020-11-07 18:26:27,The Phantom of the Opera Is here inside your mind
274,2020-11-06 23:41:32,
275,2020-11-06 15:32:21,Just looking for problem-solvers who get things done with a high sense of urgency. Dont care if or where they went to school.
276,2020-11-06 15:31:07,"When sending your resume, please describe a few of the hardest problems you solved &amp; exactly how you solved them"
277,2020-11-06 10:36:02,A New Banner is neededNeither hard left nor right
278,2020-11-06 10:23:34,Another fine day in the simulation
279,2020-11-06 10:22:31,"Faraday invented the electric motor, Tesla the (commutator-free, three-phase) AC induction motor, in other"
280,2020-11-06 10:18:53,"Maxwell was amazing. Should have more recognition. Tesla Motors, Inc., was almost called Faraday, as it to"
281,2020-11-06 06:10:41,is ten times better than
282,2020-11-06 05:55:31,
283,2020-11-06 05:27:25,: Deployment of GPS III-4 confirmed
284,2020-11-06 05:27:21,: Falcon s first stage lands on the Of Course I Still Love You droneship
285,2020-11-06 05:27:10,: Liftoff!
